Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
5.74,82.68,1.77,49.79
6.77,82.11,1.59,57.92
7.81,79.92,1.71,46.81
8.84,73.17,2.73,60.70
9.84,88.29,1.84,54.27
10.88,87.42,1.32,50.38
11.91,78.10,1.24,53.64
12.95,85.88,1.38,58.56
13.95,84.71,1.32,54.11
14.98,88.77,1.46,53.17
16.05,88.21,2.65,76.06
17.08,84.41,2.12,64.10
18.12,89.69,3.03,55.43
19.15,88.16,3.92,58.68
20.22,91.51,2.69,55.41
21.25,89.76,1.82,60.68
22.29,91.19,1.52,62.70
23.32,92.75,1.88,61.33
24.39,92.37,2.91,80.80
25.43,94.27,1.23,64.71
26.46,91.85,2.70,52.80
27.49,93.68,2.68,63.89
28.56,87.92,1.57,65.02
29.60,88.51,1.58,59.99
30.63,87.76,1.22,60.28
