Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
5.71,120.13,1.77,49.79
6.74,114.86,1.59,57.92
7.77,108.44,1.71,46.81
8.78,101.71,2.73,60.70
9.84,109.41,1.84,54.27
10.88,100.78,1.32,50.38
11.91,105.67,1.24,53.64
12.95,103.15,1.38,58.56
14.01,98.78,1.32,54.11
15.05,99.41,1.46,53.17
16.08,100.71,2.65,76.06
17.12,97.30,2.12,64.10
18.18,100.30,3.03,55.43
19.22,103.67,3.92,58.68
20.25,113.00,2.69,55.41
21.29,110.99,1.82,60.68
22.36,112.74,1.52,62.70
23.39,109.14,1.88,61.33
24.42,108.24,2.91,80.80
25.46,114.17,1.23,64.71
26.53,109.84,2.70,52.80
27.56,107.06,2.68,63.89
28.60,108.59,1.57,65.02
29.63,110.47,1.58,59.99
30.70,106.74,1.22,60.28
31.73,106.49,0.96,61.25
32.77,108.85,1.27,69.34
33.80,107.33,1.39,71.59
