Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,107.99,1.77,49.79
4.87,90.48,1.59,57.92
5.91,89.31,1.71,46.81
6.94,90.18,2.73,60.70
7.97,88.48,1.84,54.27
8.98,83.81,1.32,50.38
10.01,82.74,1.24,53.64
11.01,86.53,1.38,58.56
12.05,85.91,1.32,54.11
13.11,81.29,1.46,53.17
14.08,90.54,2.65,76.06
15.08,90.42,2.12,64.10
16.12,94.91,3.03,55.43
17.12,96.98,3.92,58.68
18.12,96.95,2.69,55.41
19.15,96.19,1.82,60.68
20.19,94.98,1.52,62.70
21.25,94.75,1.88,61.33
22.29,95.23,2.91,80.80
23.32,97.79,1.23,64.71
24.36,97.11,2.70,52.80
25.43,97.40,2.68,63.89
26.46,97.11,1.57,65.02
27.49,98.08,1.58,59.99
28.50,99.03,1.22,60.28
29.53,98.11,0.96,61.25
30.53,97.72,1.27,69.34
