Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.13,101.21,1.77,49.79
5.27,135.38,1.59,57.92
6.24,125.10,1.71,46.81
7.27,119.88,2.73,60.70
8.34,120.14,1.84,54.27
9.38,124.94,1.32,50.38
10.41,122.42,1.24,53.64
11.44,115.00,1.38,58.56
12.51,116.79,1.32,54.11
13.55,115.21,1.46,53.17
14.58,118.06,2.65,76.06
15.62,113.58,2.12,64.10
16.68,113.44,3.03,55.43
17.72,116.37,3.92,58.68
18.72,118.97,2.69,55.41
19.75,120.96,1.82,60.68
20.75,118.48,1.52,62.70
21.82,110.92,1.88,61.33
22.86,106.94,2.91,80.80
23.89,109.14,1.23,64.71
24.92,110.37,2.70,52.80
25.99,107.62,2.68,63.89
27.03,107.60,1.57,65.02
28.06,108.92,1.58,59.99
29.10,110.31,1.22,60.28
30.16,108.85,0.96,61.25
31.20,104.59,1.27,69.34
32.20,104.41,1.39,71.59
33.23,104.70,1.10,67.42
34.23,104.56,1.72,61.20
35.24,102.65,1.74,60.96
36.24,104.56,1.23,60.44
37.27,103.73,1.91,64.29
38.34,105.31,2.61,50.79
39.34,104.44,1.01,46.16
