Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,105.76,1.77,49.79
5.13,85.71,1.59,57.92
6.17,85.71,1.71,46.81
7.20,94.02,2.73,60.70
8.23,99.90,1.84,54.27
9.23,93.76,1.32,50.38
10.27,104.10,1.24,53.64
11.27,100.03,1.38,58.56
12.27,100.34,1.32,54.11
13.27,96.37,1.46,53.17
14.30,97.87,2.65,76.06
15.30,98.02,2.12,64.10
16.33,103.08,3.03,55.43
17.33,106.03,3.92,58.68
18.33,99.81,2.69,55.41
19.37,97.24,1.82,60.68
20.37,94.07,1.52,62.70
21.37,100.37,1.88,61.33
22.43,105.02,2.91,80.80
23.40,101.97,1.23,64.71
24.43,103.87,2.70,52.80
25.47,105.32,2.68,63.89
26.50,104.93,1.57,65.02
27.53,103.05,1.58,59.99
28.60,107.75,1.22,60.28
29.63,104.21,0.96,61.25
30.63,104.65,1.27,69.34
31.67,102.13,1.39,71.59
32.70,104.23,1.10,67.42
33.73,106.75,1.72,61.20
34.73,108.22,1.74,60.96
35.70,109.18,1.23,60.44
36.70,102.35,1.91,64.29
37.70,104.49,2.61,50.79
38.67,105.04,1.01,46.16
