Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.07,103.20,1.77,49.79
5.20,124.45,1.59,57.92
6.27,110.48,1.71,46.81
7.30,109.32,2.73,60.70
8.30,107.59,1.84,54.27
9.33,111.63,1.32,50.38
10.37,108.27,1.24,53.64
11.40,102.07,1.38,58.56
12.40,106.17,1.32,54.11
13.43,103.40,1.46,53.17
14.43,108.54,2.65,76.06
15.43,111.56,2.12,64.10
16.43,112.66,3.03,55.43
17.43,104.10,3.92,58.68
18.43,104.04,2.69,55.41
19.43,104.75,1.82,60.68
20.43,109.10,1.52,62.70
21.43,106.23,1.88,61.33
22.47,106.64,2.91,80.80
23.47,108.00,1.23,64.71
24.50,103.77,2.70,52.80
25.47,106.71,2.68,63.89
26.50,112.77,1.57,65.02
27.50,107.12,1.58,59.99
28.50,104.16,1.22,60.28
29.50,99.58,0.96,61.25
