Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.27,106.57,1.77,49.79
5.47,93.03,1.59,57.92
6.47,92.37,1.71,46.81
7.53,89.84,2.73,60.70
8.57,91.43,1.84,54.27
9.60,91.56,1.32,50.38
10.63,92.98,1.24,53.64
11.70,93.54,1.38,58.56
12.70,92.81,1.32,54.11
13.73,92.85,1.46,53.17
14.77,96.81,2.65,76.06
15.80,94.37,2.12,64.10
16.80,96.41,3.03,55.43
17.77,93.69,3.92,58.68
18.77,99.44,2.69,55.41
19.77,99.12,1.82,60.68
20.77,100.30,1.52,62.70
21.80,98.81,1.88,61.33
22.83,103.95,2.91,80.80
23.90,103.65,1.23,64.71
24.93,106.02,2.70,52.80
25.93,106.88,2.68,63.89
26.93,105.25,1.57,65.02
27.93,103.83,1.58,59.99
28.90,108.04,1.22,60.28
29.90,106.08,0.96,61.25
30.90,105.80,1.27,69.34
31.87,106.96,1.39,71.59
32.87,107.50,1.10,67.42
33.83,106.05,1.72,61.20
34.83,105.82,1.74,60.96
35.83,105.71,1.23,60.44
36.83,107.93,1.91,64.29
37.83,108.99,2.61,50.79
38.87,108.32,1.01,46.16
