Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
4.80,84.21,1.77,49.79
5.83,105.21,1.59,57.92
6.87,102.44,1.71,46.81
7.93,112.24,2.73,60.70
8.97,112.91,1.84,54.27
10.00,112.34,1.32,50.38
11.03,108.72,1.24,53.64
12.10,100.41,1.38,58.56
13.13,99.45,1.32,54.11
14.17,95.12,1.46,53.17
15.20,101.89,2.65,76.06
16.27,104.78,2.12,64.10
17.30,89.63,3.03,55.43
18.33,96.76,3.92,58.68
19.37,88.36,2.69,55.41
20.43,95.49,1.82,60.68
21.47,101.86,1.52,62.70
22.50,100.02,1.88,61.33
23.53,94.85,2.91,80.80
24.60,94.02,1.23,64.71
25.63,94.15,2.70,52.80
26.67,104.76,2.68,63.89
27.70,98.07,1.57,65.02
28.77,103.20,1.58,59.99
29.80,94.62,1.22,60.28
30.83,94.90,0.96,61.25
31.87,97.58,1.27,69.34
32.93,98.09,1.39,71.59
33.97,94.77,1.10,67.42
