Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.23,107.55,1.77,49.79
5.40,97.94,1.59,57.92
6.43,107.18,1.71,46.81
7.50,104.37,2.73,60.70
8.53,98.47,1.84,54.27
9.57,94.96,1.32,50.38
10.60,97.42,1.24,53.64
11.67,91.68,1.38,58.56
12.70,92.72,1.32,54.11
13.73,88.53,1.46,53.17
14.77,93.96,2.65,76.06
15.77,98.38,2.12,64.10
16.80,91.74,3.03,55.43
17.80,94.80,3.92,58.68
18.80,92.65,2.69,55.41
19.70,94.06,1.82,60.68
20.73,98.08,1.52,62.70
21.77,96.87,1.88,61.33
22.80,93.04,2.91,80.80
23.80,93.15,1.23,64.71
24.83,92.07,2.70,52.80
25.87,97.20,2.68,63.89
26.83,102.00,1.57,65.02
27.87,99.73,1.58,59.99
28.90,106.57,1.22,60.28
29.93,105.21,0.96,61.25
30.97,103.45,1.27,69.34
32.03,97.20,1.39,71.59
33.07,101.95,1.10,67.42
34.10,108.04,1.72,61.20
35.13,107.02,1.74,60.96
36.20,105.35,1.23,60.44
37.23,106.31,1.91,64.29
