Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.40,105.11,1.77,49.79
5.60,90.75,1.59,57.92
6.67,93.61,1.71,46.81
7.70,99.62,2.73,60.70
8.73,106.53,1.84,54.27
9.77,104.76,1.32,50.38
10.83,103.08,1.24,53.64
11.87,104.56,1.38,58.56
12.90,105.98,1.32,54.11
13.93,109.96,1.46,53.17
15.00,107.00,2.65,76.06
16.03,106.97,2.12,64.10
17.03,108.22,3.03,55.43
18.03,110.83,3.92,58.68
19.07,108.30,2.69,55.41
20.13,105.04,1.82,60.68
21.17,108.36,1.52,62.70
22.20,103.30,1.88,61.33
23.23,98.60,2.91,80.80
24.30,101.14,1.23,64.71
25.33,101.39,2.70,52.80
26.37,107.20,2.68,63.89
27.40,107.74,1.57,65.02
28.47,106.56,1.58,59.99
29.50,105.56,1.22,60.28
30.53,106.27,0.96,61.25
31.57,106.84,1.27,69.34
32.63,106.80,1.39,71.59
33.67,107.65,1.10,67.42
34.70,106.72,1.72,61.20
35.73,104.34,1.74,60.96
36.80,109.59,1.23,60.44
