Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.17,103.00,1.77,49.79
5.33,87.27,1.59,57.92
6.33,92.78,1.71,46.81
7.30,96.03,2.73,60.70
8.37,97.07,1.84,54.27
9.40,97.37,1.32,50.38
10.43,107.29,1.24,53.64
11.47,102.03,1.38,58.56
12.50,106.39,1.32,54.11
13.53,103.61,1.46,53.17
14.53,103.10,2.65,76.06
15.57,106.22,2.12,64.10
16.57,105.34,3.03,55.43
17.57,105.95,3.92,58.68
18.57,105.50,2.69,55.41
19.57,106.16,1.82,60.68
20.57,108.71,1.52,62.70
21.57,103.86,1.88,61.33
22.60,102.35,2.91,80.80
23.63,104.50,1.23,64.71
24.67,105.73,2.70,52.80
25.70,106.32,2.68,63.89
26.77,108.38,1.57,65.02
27.80,108.12,1.58,59.99
28.83,104.96,1.22,60.28
29.87,107.40,0.96,61.25
30.87,105.07,1.27,69.34
31.90,102.98,1.39,71.59
32.90,102.05,1.10,67.42
33.90,102.78,1.72,61.20
