Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
4.80,84.13,1.77,49.79
5.84,83.84,1.59,57.92
6.87,89.57,1.71,46.81
7.94,81.47,2.73,60.70
8.98,86.01,1.84,54.27
10.01,90.95,1.32,50.38
11.04,88.21,1.24,53.64
12.11,96.60,1.38,58.56
13.15,94.97,1.32,54.11
14.18,91.74,1.46,53.17
15.22,99.16,2.65,76.06
16.22,99.22,2.12,64.10
17.28,89.02,3.03,55.43
18.32,97.02,3.92,58.68
19.35,100.04,2.69,55.41
20.39,102.51,1.82,60.68
21.45,99.53,1.52,62.70
22.49,99.46,1.88,61.33
23.52,102.29,2.91,80.80
24.56,101.62,1.23,64.71
25.63,102.89,2.70,52.80
26.66,97.28,2.68,63.89
27.69,97.75,1.57,65.02
28.73,96.68,1.58,59.99
29.80,103.14,1.22,60.28
30.83,102.94,0.96,61.25
31.87,105.66,1.27,69.34
32.90,103.96,1.39,71.59
