Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.07,92.46,1.77,49.79
5.27,92.57,1.59,57.92
6.27,95.47,1.71,46.81
7.34,98.80,2.73,60.70
8.38,108.98,1.84,54.27
9.38,106.69,1.32,50.38
10.41,98.33,1.24,53.64
11.48,97.31,1.38,58.56
12.51,100.50,1.32,54.11
13.55,100.46,1.46,53.17
14.58,93.91,2.65,76.06
15.65,96.91,2.12,64.10
16.65,93.28,3.03,55.43
17.68,95.62,3.92,58.68
18.69,95.25,2.69,55.41
19.72,95.08,1.82,60.68
20.79,99.72,1.52,62.70
21.82,94.51,1.88,61.33
22.86,99.87,2.91,80.80
23.89,102.10,1.23,64.71
24.96,102.61,2.70,52.80
25.99,102.96,2.68,63.89
26.96,102.71,1.57,65.02
28.03,101.14,1.58,59.99
29.06,103.11,1.22,60.28
30.10,100.16,0.96,61.25
31.13,97.52,1.27,69.34
32.20,97.22,1.39,71.59
33.23,100.69,1.10,67.42
34.27,100.01,1.72,61.20
35.30,94.65,1.74,60.96
36.37,98.30,1.23,60.44
37.40,98.99,1.91,64.29
38.44,98.39,2.61,50.79
39.47,98.08,1.01,46.16
40.54,103.57,1.32,49.36
