Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
4.80,114.29,1.77,49.79
5.83,104.70,1.59,57.92
6.90,108.05,1.71,46.81
7.93,111.39,2.73,60.70
8.97,109.16,1.84,54.27
10.00,108.42,1.32,50.38
11.07,107.67,1.24,53.64
12.10,104.79,1.38,58.56
13.13,109.37,1.32,54.11
14.17,116.92,1.46,53.17
15.23,108.62,2.65,76.06
16.27,101.79,2.12,64.10
17.30,107.94,3.03,55.43
18.33,108.72,3.92,58.68
19.40,109.52,2.69,55.41
20.43,104.31,1.82,60.68
21.47,108.77,1.52,62.70
22.50,104.87,1.88,61.33
23.57,104.82,2.91,80.80
24.60,103.46,1.23,64.71
25.63,105.00,2.70,52.80
26.67,101.59,2.68,63.89
27.73,104.63,1.57,65.02
28.77,107.09,1.58,59.99
29.80,105.38,1.22,60.28
