Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,101.50,1.77,49.79
4.90,105.78,1.59,57.92
5.91,103.44,1.71,46.81
6.94,98.29,2.73,60.70
7.97,95.01,1.84,54.27
9.01,112.52,1.32,50.38
10.08,107.85,1.24,53.64
11.11,108.12,1.38,58.56
12.15,110.81,1.32,54.11
13.18,109.64,1.46,53.17
14.18,98.65,2.65,76.06
15.25,109.07,2.12,64.10
16.28,105.92,3.03,55.43
17.32,110.20,3.92,58.68
18.35,105.57,2.69,55.41
19.42,98.78,1.82,60.68
20.42,99.57,1.52,62.70
21.45,101.59,1.88,61.33
22.49,98.69,2.91,80.80
23.52,101.65,1.23,64.71
24.59,99.71,2.70,52.80
25.63,96.29,2.68,63.89
26.63,98.87,1.57,65.02
27.66,98.88,1.58,59.99
28.70,97.83,1.22,60.28
29.76,92.98,0.96,61.25
30.80,91.50,1.27,69.34
31.80,96.64,1.39,71.59
32.83,94.46,1.10,67.42
33.87,99.08,1.72,61.20
34.93,100.50,1.74,60.96
