Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,93.68,1.77,49.79
4.77,107.04,1.59,57.92
5.77,122.22,1.71,46.81
6.81,113.61,2.73,60.70
7.84,124.05,1.84,54.27
8.91,113.93,1.32,50.38
9.88,123.69,1.24,53.64
10.94,115.96,1.38,58.56
11.95,107.27,1.32,54.11
12.98,105.27,1.46,53.17
13.98,109.34,2.65,76.06
14.98,109.18,2.12,64.10
15.98,107.45,3.03,55.43
17.02,112.71,3.92,58.68
18.02,112.01,2.69,55.41
19.05,102.01,1.82,60.68
20.05,117.16,1.52,62.70
21.09,117.27,1.88,61.33
22.12,115.45,2.91,80.80
23.16,115.20,1.23,64.71
24.12,115.86,2.70,52.80
25.19,115.22,2.68,63.89
26.16,117.97,1.57,65.02
27.16,113.86,1.58,59.99
28.13,115.29,1.22,60.28
29.10,116.01,0.96,61.25
30.10,112.99,1.27,69.34
31.10,104.36,1.39,71.59
32.10,109.20,1.10,67.42
33.13,108.28,1.72,61.20
34.13,107.88,1.74,60.96
35.17,107.29,1.23,60.44
36.17,107.64,1.91,64.29
37.14,108.77,2.61,50.79
38.14,105.92,1.01,46.16
39.11,107.56,1.32,49.36
40.11,107.49,1.35,54.53
