Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,99.62,1.77,49.79
5.13,89.55,1.59,57.92
6.17,96.62,1.71,46.81
7.20,97.91,2.73,60.70
8.27,105.98,1.84,54.27
9.30,108.62,1.32,50.38
10.33,107.97,1.24,53.64
11.37,104.91,1.38,58.56
12.43,104.96,1.32,54.11
13.47,102.68,1.46,53.17
14.50,100.99,2.65,76.06
15.53,103.20,2.12,64.10
16.60,100.22,3.03,55.43
17.63,106.83,3.92,58.68
18.67,107.63,2.69,55.41
19.70,107.53,1.82,60.68
20.77,104.48,1.52,62.70
21.80,109.44,1.88,61.33
22.83,106.62,2.91,80.80
23.87,106.09,1.23,64.71
24.93,106.35,2.70,52.80
25.97,103.93,2.68,63.89
27.00,101.95,1.57,65.02
28.03,103.17,1.58,59.99
29.10,104.46,1.22,60.28
30.13,107.62,0.96,61.25
31.17,107.91,1.27,69.34
32.20,107.23,1.39,71.59
33.27,105.26,1.10,67.42
34.30,106.06,1.72,61.20
35.33,103.41,1.74,60.96
36.37,103.37,1.23,60.44
