Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,90.33,1.77,49.79
5.00,108.98,1.59,57.92
6.07,87.51,1.71,46.81
7.11,92.25,2.73,60.70
8.14,87.91,1.84,54.27
9.14,93.82,1.32,50.38
10.18,81.74,1.24,53.64
11.24,89.71,1.38,58.56
12.25,94.60,1.32,54.11
13.28,94.09,1.46,53.17
14.28,99.42,2.65,76.06
15.25,98.22,2.12,64.10
16.22,100.57,3.03,55.43
17.22,96.33,3.92,58.68
18.22,97.11,2.69,55.41
19.22,100.50,1.82,60.68
20.19,96.03,1.52,62.70
21.19,96.87,1.88,61.33
22.19,94.14,2.91,80.80
23.19,100.14,1.23,64.71
24.19,102.96,2.70,52.80
25.19,100.91,2.68,63.89
26.19,101.39,1.57,65.02
27.19,100.95,1.58,59.99
28.19,96.39,1.22,60.28
29.20,95.20,0.96,61.25
30.20,98.32,1.27,69.34
31.20,97.24,1.39,71.59
32.20,94.73,1.10,67.42
33.20,98.34,1.72,61.20
34.20,97.09,1.74,60.96
35.20,98.84,1.23,60.44
36.17,95.63,1.91,64.29
