Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
5.70,115.21,1.77,49.79
6.73,116.87,1.59,57.92
7.73,108.55,1.71,46.81
8.73,104.05,2.73,60.70
9.77,101.98,1.84,54.27
10.80,101.80,1.32,50.38
11.87,96.77,1.24,53.64
12.87,105.27,1.38,58.56
13.90,106.45,1.32,54.11
14.93,110.20,1.46,53.17
15.97,111.81,2.65,76.06
17.03,109.79,2.12,64.10
18.07,103.93,3.03,55.43
19.10,104.35,3.92,58.68
20.13,104.26,2.69,55.41
21.20,101.20,1.82,60.68
22.23,100.03,1.52,62.70
23.27,101.37,1.88,61.33
24.30,106.96,2.91,80.80
25.37,107.88,1.23,64.71
26.40,107.15,2.70,52.80
27.43,101.28,2.68,63.89
28.47,103.65,1.57,65.02
29.53,106.64,1.58,59.99
30.53,105.48,1.22,60.28
31.50,103.43,0.96,61.25
32.57,103.50,1.27,69.34
33.60,106.61,1.39,71.59
34.63,99.99,1.10,67.42
