Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
4.94,116.01,1.77,49.79
5.97,99.78,1.59,57.92
7.01,99.80,1.71,46.81
8.04,99.39,2.73,60.70
9.11,99.24,1.84,54.27
10.14,102.52,1.32,50.38
11.18,98.65,1.24,53.64
12.21,105.00,1.38,58.56
13.28,100.99,1.32,54.11
14.31,100.91,1.46,53.17
15.35,99.88,2.65,76.06
16.38,103.38,2.12,64.10
17.45,103.13,3.03,55.43
18.49,98.06,3.92,58.68
19.52,100.84,2.69,55.41
20.55,102.15,1.82,60.68
21.62,103.65,1.52,62.70
22.62,100.42,1.88,61.33
23.62,101.38,2.91,80.80
24.66,99.76,1.23,64.71
25.69,102.07,2.70,52.80
26.73,99.23,2.68,63.89
27.79,100.78,1.57,65.02
28.83,103.74,1.58,59.99
29.86,98.59,1.22,60.28
30.90,94.21,0.96,61.25
31.97,100.01,1.27,69.34
33.00,99.69,1.39,71.59
34.03,100.31,1.10,67.42
