Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
4.74,110.66,1.77,49.79
5.77,113.42,1.59,57.92
6.77,107.76,1.71,46.81
7.81,100.60,2.73,60.70
8.88,101.21,1.84,54.27
9.91,108.13,1.32,50.38
10.94,104.41,1.24,53.64
11.98,109.41,1.38,58.56
12.98,107.12,1.32,54.11
14.05,101.28,1.46,53.17
15.08,104.00,2.65,76.06
16.12,103.30,2.12,64.10
17.15,100.54,3.03,55.43
18.18,96.94,3.92,58.68
19.22,102.42,2.69,55.41
20.22,101.69,1.82,60.68
21.25,96.88,1.52,62.70
22.26,98.92,1.88,61.33
23.32,103.22,2.91,80.80
24.32,104.55,1.23,64.71
25.36,103.60,2.70,52.80
26.36,103.08,2.68,63.89
27.29,101.93,1.57,65.02
28.29,100.02,1.58,59.99
29.33,103.32,1.22,60.28
30.33,106.86,0.96,61.25
31.36,99.38,1.27,69.34
32.43,101.70,1.39,71.59
33.43,102.70,1.10,67.42
34.47,99.50,1.72,61.20
35.47,100.01,1.74,60.96
36.50,102.34,1.23,60.44
37.50,101.08,1.91,64.29
38.57,101.87,2.61,50.79
