Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,97.52,1.77,49.79
5.67,102.90,1.59,57.92
6.71,84.94,1.71,46.81
7.74,99.39,2.73,60.70
8.81,98.78,1.84,54.27
9.84,98.74,1.32,50.38
10.88,102.60,1.24,53.64
11.91,102.12,1.38,58.56
12.98,105.27,1.32,54.11
14.01,100.28,1.46,53.17
15.05,99.47,2.65,76.06
16.08,100.87,2.12,64.10
17.15,105.34,3.03,55.43
18.18,104.45,3.92,58.68
19.22,102.28,2.69,55.41
20.25,104.33,1.82,60.68
21.25,101.56,1.52,62.70
22.32,98.62,1.88,61.33
23.36,101.58,2.91,80.80
24.39,104.16,1.23,64.71
25.43,107.18,2.70,52.80
26.49,104.66,2.68,63.89
27.53,104.31,1.57,65.02
28.56,104.88,1.58,59.99
29.60,106.19,1.22,60.28
30.63,105.56,0.96,61.25
31.66,103.62,1.27,69.34
32.70,102.54,1.39,71.59
