Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,95.78,1.77,49.79
5.40,108.12,1.59,57.92
6.43,109.93,1.71,46.81
7.50,106.68,2.73,60.70
8.53,102.07,1.84,54.27
9.57,113.10,1.32,50.38
10.60,105.50,1.24,53.64
11.67,98.35,1.38,58.56
12.07,103.31,1.32,54.11
13.10,104.62,1.46,53.17
14.13,98.91,2.65,76.06
15.20,104.47,2.12,64.10
16.23,105.88,3.03,55.43
17.27,105.16,3.92,58.68
18.30,105.05,2.69,55.41
19.37,109.19,1.82,60.68
20.37,105.33,1.52,62.70
21.40,107.07,1.88,61.33
22.43,106.80,2.91,80.80
23.50,103.51,1.23,64.71
24.53,108.63,2.70,52.80
25.57,108.33,2.68,63.89
26.60,110.36,1.57,65.02
27.67,111.56,1.58,59.99
28.70,108.47,1.22,60.28
29.73,109.46,0.96,61.25
