Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.07,106.93,1.77,49.79
5.27,101.25,1.59,57.92
6.31,101.75,1.71,46.81
7.37,98.37,2.73,60.70
8.41,100.83,1.84,54.27
9.44,104.66,1.32,50.38
10.48,100.63,1.24,53.64
11.54,97.27,1.38,58.56
12.58,99.31,1.32,54.11
13.61,102.19,1.46,53.17
14.65,102.23,2.65,76.06
15.68,105.94,2.12,64.10
16.72,102.98,3.03,55.43
17.75,101.56,3.92,58.68
18.79,98.37,2.69,55.41
19.85,104.81,1.82,60.68
20.89,103.36,1.52,62.70
21.92,100.94,1.88,61.33
22.96,104.89,2.91,80.80
24.02,102.16,1.23,64.71
25.06,100.46,2.70,52.80
26.09,105.42,2.68,63.89
27.13,106.00,1.57,65.02
28.19,108.71,1.58,59.99
29.23,105.76,1.22,60.28
30.26,104.06,0.96,61.25
31.30,103.10,1.27,69.34
32.37,100.97,1.39,71.59
33.37,101.87,1.10,67.42
34.37,103.51,1.72,61.20
35.37,100.52,1.74,60.96
