Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,100.39,1.77,49.79
5.10,101.69,1.59,57.92
6.13,98.65,1.71,46.81
7.17,98.06,2.73,60.70
8.20,86.21,1.84,54.27
9.27,99.51,1.32,50.38
10.30,96.92,1.24,53.64
11.33,103.08,1.38,58.56
12.37,103.71,1.32,54.11
13.37,99.14,1.46,53.17
14.40,107.51,2.65,76.06
15.43,94.97,2.12,64.10
16.47,97.58,3.03,55.43
17.50,97.37,3.92,58.68
18.57,100.98,2.69,55.41
19.60,101.06,1.82,60.68
20.63,97.83,1.52,62.70
21.67,101.15,1.88,61.33
22.73,101.85,2.91,80.80
23.77,101.48,1.23,64.71
24.80,98.63,2.70,52.80
25.83,101.92,2.68,63.89
26.90,105.92,1.57,65.02
27.93,104.67,1.58,59.99
