Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
4.84,103.34,1.77,49.79
5.87,105.91,1.59,57.92
6.94,108.91,1.71,46.81
7.97,102.44,2.73,60.70
9.01,109.66,1.84,54.27
10.04,97.54,1.32,50.38
11.11,92.51,1.24,53.64
12.15,89.48,1.38,58.56
13.15,93.15,1.32,54.11
14.18,102.81,1.46,53.17
15.22,100.94,2.65,76.06
16.25,91.22,2.12,64.10
17.32,94.91,3.03,55.43
18.35,96.41,3.92,58.68
19.39,95.85,2.69,55.41
20.42,92.22,1.82,60.68
21.42,94.42,1.52,62.70
22.49,93.38,1.88,61.33
23.52,93.05,2.91,80.80
24.52,95.06,1.23,64.71
25.56,94.59,2.70,52.80
26.59,93.18,2.68,63.89
27.63,92.97,1.57,65.02
