Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.27,105.46,1.77,49.79
5.41,103.05,1.59,57.92
6.41,98.35,1.71,46.81
7.41,102.57,2.73,60.70
8.44,100.37,1.84,54.27
9.48,96.68,1.32,50.38
10.51,97.73,1.24,53.64
11.54,107.81,1.38,58.56
12.55,106.09,1.32,54.11
13.58,102.30,1.46,53.17
14.58,103.33,2.65,76.06
15.62,106.44,2.12,64.10
16.65,101.00,3.03,55.43
17.72,102.89,3.92,58.68
18.75,101.40,2.69,55.41
19.79,101.70,1.82,60.68
20.82,106.06,1.52,62.70
21.89,103.71,1.88,61.33
22.92,104.34,2.91,80.80
23.96,97.55,1.23,64.71
24.99,101.87,2.70,52.80
25.99,103.58,2.68,63.89
27.03,99.77,1.57,65.02
28.09,98.92,1.58,59.99
29.13,99.66,1.22,60.28
30.16,93.38,0.96,61.25
31.20,94.08,1.27,69.34
32.27,96.41,1.39,71.59
33.30,97.81,1.10,67.42
34.33,97.27,1.72,61.20
35.37,100.40,1.74,60.96
36.44,101.80,1.23,60.44
