Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,97.78,1.77,49.79
4.83,90.91,1.59,57.92
5.83,94.88,1.71,46.81
6.87,92.35,2.73,60.70
7.87,91.05,1.84,54.27
8.87,87.30,1.32,50.38
9.83,95.10,1.24,53.64
10.90,96.32,1.38,58.56
11.93,99.66,1.32,54.11
12.97,96.93,1.46,53.17
14.00,92.51,2.65,76.06
15.00,99.03,2.12,64.10
16.00,100.00,3.03,55.43
17.00,98.95,3.92,58.68
18.00,99.03,2.69,55.41
18.97,101.28,1.82,60.68
19.93,98.25,1.52,62.70
20.90,99.67,1.88,61.33
21.90,98.88,2.91,80.80
22.87,100.92,1.23,64.71
23.87,98.28,2.70,52.80
24.90,98.07,2.68,63.89
25.90,97.04,1.57,65.02
26.80,98.18,1.58,59.99
27.80,96.36,1.22,60.28
28.77,94.05,0.96,61.25
29.70,96.23,1.27,69.34
30.67,94.89,1.39,71.59
31.67,94.51,1.10,67.42
32.63,98.19,1.72,61.20
33.60,97.95,1.74,60.96
