Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,102.36,1.77,49.79
5.11,95.90,1.59,57.92
6.11,111.16,1.71,46.81
7.14,118.71,2.73,60.70
8.14,116.39,1.84,54.27
9.18,117.95,1.32,50.38
10.21,110.28,1.24,53.64
11.24,100.22,1.38,58.56
12.28,102.54,1.32,54.11
13.28,99.33,1.46,53.17
14.28,109.57,2.65,76.06
15.28,104.42,2.12,64.10
16.28,98.80,3.03,55.43
17.28,96.17,3.92,58.68
18.28,98.27,2.69,55.41
19.29,99.34,1.82,60.68
20.32,96.68,1.52,62.70
21.35,105.48,1.88,61.33
22.42,103.71,2.91,80.80
23.46,106.62,1.23,64.71
24.46,109.15,2.70,52.80
25.43,109.90,2.68,63.89
26.39,104.08,1.57,65.02
27.39,105.33,1.58,59.99
28.43,106.15,1.22,60.28
29.43,102.76,0.96,61.25
30.43,101.07,1.27,69.34
31.40,105.58,1.39,71.59
32.33,107.70,1.10,67.42
33.33,107.16,1.72,61.20
34.33,105.24,1.74,60.96
