Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.17,99.04,1.77,49.79
5.34,81.80,1.59,57.92
6.34,69.19,1.71,46.81
7.37,79.48,2.73,60.70
8.41,89.08,1.84,54.27
9.44,89.63,1.32,50.38
10.48,77.07,1.24,53.64
11.54,77.63,1.38,58.56
12.58,76.64,1.32,54.11
13.61,91.76,1.46,53.17
14.65,93.16,2.65,76.06
15.72,97.77,2.12,64.10
16.75,101.17,3.03,55.43
17.78,92.75,3.92,58.68
18.82,93.29,2.69,55.41
19.89,99.90,1.82,60.68
20.85,90.94,1.52,62.70
21.92,81.83,1.88,61.33
22.96,86.94,2.91,80.80
23.99,86.99,1.23,64.71
25.03,95.83,2.70,52.80
26.09,94.85,2.68,63.89
27.13,90.51,1.57,65.02
28.16,86.48,1.58,59.99
29.20,88.96,1.22,60.28
