Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
4.93,116.13,1.77,49.79
5.93,115.87,1.59,57.92
6.97,108.51,1.71,46.81
8.00,106.48,2.73,60.70
9.07,112.82,1.84,54.27
10.10,110.72,1.32,50.38
11.13,105.53,1.24,53.64
12.17,105.13,1.38,58.56
13.23,107.12,1.32,54.11
14.27,107.92,1.46,53.17
15.30,101.09,2.65,76.06
16.30,102.45,2.12,64.10
17.33,101.23,3.03,55.43
18.40,104.25,3.92,58.68
19.43,102.88,2.69,55.41
20.47,104.98,1.82,60.68
21.50,103.27,1.52,62.70
22.57,103.23,1.88,61.33
23.60,102.51,2.91,80.80
24.63,99.43,1.23,64.71
25.67,100.27,2.70,52.80
26.73,101.77,2.68,63.89
27.77,98.26,1.57,65.02
