Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,107.60,1.77,49.79
4.97,109.09,1.59,57.92
5.97,109.73,1.71,46.81
7.00,107.14,2.73,60.70
8.07,111.15,1.84,54.27
9.10,111.94,1.32,50.38
10.10,111.57,1.24,53.64
11.10,112.08,1.38,58.56
12.13,106.10,1.32,54.11
13.17,92.81,1.46,53.17
14.20,96.17,2.65,76.06
15.27,99.81,2.12,64.10
16.30,96.79,3.03,55.43
17.33,94.21,3.92,58.68
18.37,99.44,2.69,55.41
19.43,99.09,1.82,60.68
20.47,97.49,1.52,62.70
21.50,99.51,1.88,61.33
22.53,100.13,2.91,80.80
23.60,98.46,1.23,64.71
24.63,97.64,2.70,52.80
25.67,102.30,2.68,63.89
26.70,96.57,1.57,65.02
27.77,103.75,1.58,59.99
28.80,107.64,1.22,60.28
29.83,103.44,0.96,61.25
30.87,108.83,1.27,69.34
31.93,107.42,1.39,71.59
