Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,99.51,1.77,49.79
5.21,114.17,1.59,57.92
6.24,109.99,1.71,46.81
7.27,107.21,2.73,60.70
8.31,100.05,1.84,54.27
9.38,108.00,1.32,50.38
10.41,98.21,1.24,53.64
11.44,99.33,1.38,58.56
12.48,109.53,1.32,54.11
13.55,102.74,1.46,53.17
14.58,100.18,2.65,76.06
15.62,98.48,2.12,64.10
16.65,110.77,3.03,55.43
17.72,103.18,3.92,58.68
18.72,108.63,2.69,55.41
19.75,108.98,1.82,60.68
20.79,108.18,1.52,62.70
21.82,107.83,1.88,61.33
22.89,104.12,2.91,80.80
23.92,110.09,1.23,64.71
24.96,108.82,2.70,52.80
25.99,108.83,2.68,63.89
27.06,103.20,1.57,65.02
28.09,105.24,1.58,59.99
29.13,105.68,1.22,60.28
30.16,107.00,0.96,61.25
31.23,103.84,1.27,69.34
32.27,103.51,1.39,71.59
33.30,108.64,1.10,67.42
34.33,107.04,1.72,61.20
35.40,104.55,1.74,60.96
