Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,106.49,1.77,49.79
4.74,114.17,1.59,57.92
5.77,113.03,1.71,46.81
6.81,118.58,2.73,60.70
7.87,107.95,1.84,54.27
8.91,90.67,1.32,50.38
9.94,101.87,1.24,53.64
10.98,98.36,1.38,58.56
12.05,105.61,1.32,54.11
13.08,110.20,1.46,53.17
14.11,106.07,2.65,76.06
15.15,100.39,2.12,64.10
16.22,109.25,3.03,55.43
17.25,111.13,3.92,58.68
18.28,105.16,2.69,55.41
19.32,107.58,1.82,60.68
20.39,104.98,1.52,62.70
21.42,103.39,1.88,61.33
22.42,107.10,2.91,80.80
23.46,103.34,1.23,64.71
24.49,102.51,2.70,52.80
25.53,104.65,2.68,63.89
26.59,101.94,1.57,65.02
27.63,106.57,1.58,59.99
28.66,105.06,1.22,60.28
29.70,103.32,0.96,61.25
30.76,103.56,1.27,69.34
31.80,101.73,1.39,71.59
32.80,104.08,1.10,67.42
33.83,100.53,1.72,61.20
34.90,98.37,1.74,60.96
35.94,99.62,1.23,60.44
36.97,103.32,1.91,64.29
