Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,85.72,1.77,49.79
4.94,92.22,1.59,57.92
5.97,92.81,1.71,46.81
7.01,95.91,2.73,60.70
8.01,97.10,1.84,54.27
9.08,100.32,1.32,50.38
10.08,94.64,1.24,53.64
11.11,98.58,1.38,58.56
12.15,97.44,1.32,54.11
13.21,92.22,1.46,53.17
14.25,96.78,2.65,76.06
15.28,100.29,2.12,64.10
16.32,102.76,3.03,55.43
17.32,102.40,3.92,58.68
18.35,103.94,2.69,55.41
19.32,104.15,1.82,60.68
20.32,103.17,1.52,62.70
21.39,96.60,1.88,61.33
22.42,98.20,2.91,80.80
23.46,102.98,1.23,64.71
24.49,100.79,2.70,52.80
25.56,102.02,2.68,63.89
26.59,105.41,1.57,65.02
27.59,105.51,1.58,59.99
28.63,103.61,1.22,60.28
29.70,100.82,0.96,61.25
30.70,105.93,1.27,69.34
31.70,103.57,1.39,71.59
32.70,103.04,1.10,67.42
