Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
5.70,102.28,1.77,49.79
6.73,102.17,1.59,57.92
7.73,97.72,1.71,46.81
8.77,95.32,2.73,60.70
9.80,101.58,1.84,54.27
10.83,97.16,1.32,50.38
11.90,95.76,1.24,53.64
12.93,93.37,1.38,58.56
13.97,98.43,1.32,54.11
15.00,99.92,1.46,53.17
16.07,101.82,2.65,76.06
17.10,98.99,2.12,64.10
18.13,101.98,3.03,55.43
19.17,97.22,3.92,58.68
20.23,100.45,2.69,55.41
21.27,102.88,1.82,60.68
22.30,99.21,1.52,62.70
23.33,102.39,1.88,61.33
24.40,102.16,2.91,80.80
25.43,102.20,1.23,64.71
26.47,103.04,2.70,52.80
27.50,99.36,2.68,63.89
28.57,100.97,1.57,65.02
29.60,101.03,1.58,59.99
30.63,101.79,1.22,60.28
31.67,103.43,0.96,61.25
32.73,97.61,1.27,69.34
33.77,100.60,1.39,71.59
