Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.23,100.28,1.77,49.79
5.44,93.68,1.59,57.92
6.44,92.63,1.71,46.81
7.51,96.18,2.73,60.70
8.54,96.55,1.84,54.27
9.58,88.46,1.32,50.38
10.61,86.24,1.24,53.64
11.68,93.65,1.38,58.56
12.71,93.82,1.32,54.11
13.75,98.57,1.46,53.17
14.78,91.49,2.65,76.06
15.85,88.66,2.12,64.10
16.88,91.05,3.03,55.43
17.92,88.44,3.92,58.68
18.95,98.43,2.69,55.41
19.99,97.73,1.82,60.68
21.02,98.72,1.52,62.70
22.06,91.99,1.88,61.33
23.09,94.02,2.91,80.80
24.16,94.88,1.23,64.71
25.19,97.02,2.70,52.80
26.23,91.97,2.68,63.89
27.23,87.62,1.57,65.02
28.26,86.55,1.58,59.99
29.33,88.10,1.22,60.28
