Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.10,98.01,1.77,49.79
5.33,124.29,1.59,57.92
6.37,120.76,1.71,46.81
7.40,122.15,2.73,60.70
8.43,120.75,1.84,54.27
9.50,126.12,1.32,50.38
10.53,114.89,1.24,53.64
11.57,114.26,1.38,58.56
12.60,109.00,1.32,54.11
13.67,113.60,1.46,53.17
14.70,117.07,2.65,76.06
15.73,116.81,2.12,64.10
16.77,116.61,3.03,55.43
17.83,112.65,3.92,58.68
18.87,115.40,2.69,55.41
19.87,115.33,1.82,60.68
20.90,113.60,1.52,62.70
21.93,117.08,1.88,61.33
22.97,117.39,2.91,80.80
24.00,114.14,1.23,64.71
25.03,113.94,2.70,52.80
26.07,112.55,2.68,63.89
27.10,114.31,1.57,65.02
28.10,115.21,1.58,59.99
29.13,116.93,1.22,60.28
