Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.17,97.43,1.77,49.79
5.33,103.15,1.59,57.92
6.33,90.51,1.71,46.81
7.37,103.47,2.73,60.70
8.43,94.89,1.84,54.27
9.47,106.27,1.32,50.38
10.50,98.89,1.24,53.64
11.53,96.15,1.38,58.56
12.60,88.19,1.32,54.11
13.63,98.65,1.46,53.17
14.67,96.33,2.65,76.06
15.70,104.92,2.12,64.10
16.70,98.21,3.03,55.43
17.77,99.19,3.92,58.68
18.80,101.49,2.69,55.41
19.83,95.65,1.82,60.68
20.83,101.72,1.52,62.70
21.87,96.70,1.88,61.33
22.93,96.75,2.91,80.80
23.97,101.63,1.23,64.71
25.00,99.28,2.70,52.80
26.03,96.93,2.68,63.89
27.10,102.10,1.57,65.02
28.13,98.91,1.58,59.99
29.17,98.15,1.22,60.28
30.20,99.06,0.96,61.25
31.27,96.56,1.27,69.34
32.30,97.02,1.39,71.59
33.33,98.94,1.10,67.42
34.37,94.14,1.72,61.20
