Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
5.73,82.93,1.77,49.79
6.77,75.00,1.59,57.92
7.80,92.31,1.71,46.81
8.87,98.78,2.73,60.70
9.90,96.89,1.84,54.27
10.93,97.18,1.32,50.38
11.97,96.45,1.24,53.64
13.03,96.58,1.38,58.56
14.07,84.80,1.32,54.11
15.10,87.43,1.46,53.17
16.13,87.57,2.65,76.06
17.20,90.95,2.12,64.10
18.23,95.80,3.03,55.43
19.27,93.64,3.92,58.68
20.30,99.15,2.69,55.41
21.37,97.09,1.82,60.68
22.40,96.84,1.52,62.70
23.43,95.93,1.88,61.33
24.47,100.07,2.91,80.80
25.53,95.09,1.23,64.71
26.57,95.93,2.70,52.80
27.60,89.57,2.68,63.89
28.63,96.09,1.57,65.02
29.70,92.67,1.58,59.99
30.73,94.38,1.22,60.28
31.77,93.59,0.96,61.25
32.80,95.52,1.27,69.34
33.87,99.22,1.39,71.59
34.90,97.81,1.10,67.42
35.93,97.30,1.72,61.20
36.97,96.46,1.74,60.96
38.03,93.21,1.23,60.44
39.07,91.97,1.91,64.29
40.10,92.31,2.61,50.79
41.13,91.16,1.01,46.16
