Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.03,98.59,1.77,49.79
5.07,112.74,1.59,57.92
6.07,108.10,1.71,46.81
7.04,111.65,2.73,60.70
8.04,103.47,1.84,54.27
9.04,106.62,1.32,50.38
10.04,106.35,1.24,53.64
11.08,110.06,1.38,58.56
12.08,107.11,1.32,54.11
13.08,110.89,1.46,53.17
14.08,102.32,2.65,76.06
15.08,103.10,2.12,64.10
16.12,106.49,3.03,55.43
17.15,101.96,3.92,58.68
18.18,107.99,2.69,55.41
19.19,104.79,1.82,60.68
20.19,104.70,1.52,62.70
21.22,108.62,1.88,61.33
22.26,104.84,2.91,80.80
23.26,108.83,1.23,64.71
24.29,103.80,2.70,52.80
25.29,106.39,2.68,63.89
26.26,101.77,1.57,65.02
27.33,98.98,1.58,59.99
28.29,96.20,1.22,60.28
29.30,98.36,0.96,61.25
30.33,98.39,1.27,69.34
31.33,95.71,1.39,71.59
32.33,97.84,1.10,67.42
33.33,102.57,1.72,61.20
34.33,101.96,1.74,60.96
35.34,99.93,1.23,60.44
36.34,100.84,1.91,64.29
