Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.13,96.78,1.77,49.79
5.31,87.19,1.59,57.92
6.31,94.03,1.71,46.81
7.31,93.18,2.73,60.70
8.34,95.64,1.84,54.27
9.38,96.13,1.32,50.38
10.38,103.74,1.24,53.64
11.38,106.74,1.38,58.56
12.38,106.29,1.32,54.11
13.41,108.38,1.46,53.17
14.41,109.76,2.65,76.06
15.42,108.49,2.12,64.10
16.45,107.11,3.03,55.43
17.48,105.33,3.92,58.68
18.49,106.39,2.69,55.41
19.55,106.10,1.82,60.68
20.55,102.54,1.52,62.70
21.55,105.37,1.88,61.33
22.59,107.38,2.91,80.80
23.62,107.00,1.23,64.71
24.69,100.51,2.70,52.80
25.73,101.55,2.68,63.89
26.69,100.98,1.57,65.02
27.76,101.05,1.58,59.99
28.80,104.19,1.22,60.28
29.83,102.45,0.96,61.25
30.86,102.08,1.27,69.34
31.93,102.74,1.39,71.59
32.97,103.83,1.10,67.42
