Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.27,99.82,1.77,49.79
5.47,113.84,1.59,57.92
6.53,113.16,1.71,46.81
7.57,110.31,2.73,60.70
8.60,124.94,1.84,54.27
9.63,117.71,1.32,50.38
10.70,101.47,1.24,53.64
11.73,99.07,1.38,58.56
12.77,110.66,1.32,54.11
13.80,89.49,1.46,53.17
14.87,109.08,2.65,76.06
15.90,99.98,2.12,64.10
16.93,102.51,3.03,55.43
17.97,110.18,3.92,58.68
19.00,114.03,2.69,55.41
20.03,107.24,1.82,60.68
21.07,107.18,1.52,62.70
22.10,108.53,1.88,61.33
23.17,109.76,2.91,80.80
24.20,106.55,1.23,64.71
25.23,102.25,2.70,52.80
26.27,108.09,2.68,63.89
27.33,111.87,1.57,65.02
28.37,104.20,1.58,59.99
29.40,106.25,1.22,60.28
30.43,107.01,0.96,61.25
31.50,104.37,1.27,69.34
32.53,100.86,1.39,71.59
33.57,108.87,1.10,67.42
34.60,107.78,1.72,61.20
35.67,107.36,1.74,60.96
