Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
4.77,117.91,1.77,49.79
5.81,128.65,1.59,57.92
6.84,120.11,1.71,46.81
7.87,113.51,2.73,60.70
8.91,108.10,1.84,54.27
9.94,105.93,1.32,50.38
10.98,102.75,1.24,53.64
12.01,95.46,1.38,58.56
13.08,100.76,1.32,54.11
14.11,102.13,1.46,53.17
15.15,96.25,2.65,76.06
16.18,96.10,2.12,64.10
17.25,104.24,3.03,55.43
18.28,103.32,3.92,58.68
19.32,96.72,2.69,55.41
20.35,102.63,1.82,60.68
21.42,98.06,1.52,62.70
22.46,94.49,1.88,61.33
23.49,101.58,2.91,80.80
24.52,100.74,1.23,64.71
25.49,96.62,2.70,52.80
26.49,94.81,2.68,63.89
27.53,99.90,1.57,65.02
28.60,100.99,1.58,59.99
29.63,102.26,1.22,60.28
30.66,105.49,0.96,61.25
31.70,101.78,1.27,69.34
32.77,106.68,1.39,71.59
33.80,106.07,1.10,67.42
34.83,102.30,1.72,61.20
35.87,102.14,1.74,60.96
36.90,103.11,1.23,60.44
37.94,103.81,1.91,64.29
38.97,99.67,2.61,50.79
40.01,97.05,1.01,46.16
41.07,102.65,1.32,49.36
