Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.27,110.57,1.77,49.79
5.44,95.19,1.59,57.92
6.44,96.18,1.71,46.81
7.47,94.10,2.73,60.70
8.48,91.34,1.84,54.27
9.51,97.52,1.32,50.38
10.51,87.19,1.24,53.64
11.51,106.65,1.38,58.56
12.58,108.10,1.32,54.11
13.55,100.47,1.46,53.17
14.61,95.81,2.65,76.06
15.62,100.00,2.12,64.10
16.62,100.13,3.03,55.43
17.62,98.91,3.92,58.68
18.62,101.00,2.69,55.41
19.62,101.33,1.82,60.68
20.62,98.89,1.52,62.70
21.62,99.51,1.88,61.33
22.66,105.30,2.91,80.80
23.66,107.07,1.23,64.71
24.69,109.59,2.70,52.80
25.69,107.95,2.68,63.89
26.73,111.81,1.57,65.02
27.73,110.89,1.58,59.99
28.73,104.74,1.22,60.28
29.73,107.97,0.96,61.25
30.73,106.13,1.27,69.34
31.73,104.39,1.39,71.59
32.80,104.47,1.10,67.42
33.77,102.15,1.72,61.20
34.83,104.97,1.74,60.96
35.80,106.04,1.23,60.44
36.80,104.29,1.91,64.29
37.84,103.10,2.61,50.79
38.81,102.94,1.01,46.16
39.81,100.59,1.32,49.36
