Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.27,93.79,1.77,49.79
5.43,101.81,1.59,57.92
6.47,101.17,1.71,46.81
7.50,86.98,2.73,60.70
8.57,90.86,1.84,54.27
9.60,90.06,1.32,50.38
10.63,98.53,1.24,53.64
11.67,97.47,1.38,58.56
12.73,88.47,1.32,54.11
13.77,105.21,1.46,53.17
14.80,100.53,2.65,76.06
15.83,95.19,2.12,64.10
16.87,94.94,3.03,55.43
17.90,92.38,3.92,58.68
18.93,89.33,2.69,55.41
19.97,94.67,1.82,60.68
21.03,94.44,1.52,62.70
22.07,98.10,1.88,61.33
23.10,97.55,2.91,80.80
24.13,98.39,1.23,64.71
25.20,94.92,2.70,52.80
26.23,86.62,2.68,63.89
27.27,92.78,1.57,65.02
28.30,89.39,1.58,59.99
29.37,88.67,1.22,60.28
30.40,90.80,0.96,61.25
31.43,91.26,1.27,69.34
32.47,94.31,1.39,71.59
33.53,93.56,1.10,67.42
34.57,94.09,1.72,61.20
35.60,91.31,1.74,60.96
