Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,99.34,1.77,49.79
5.64,119.64,1.59,57.92
6.67,113.21,1.71,46.81
7.71,109.39,2.73,60.70
8.78,102.54,1.84,54.27
9.81,100.84,1.32,50.38
10.84,110.66,1.24,53.64
11.88,100.87,1.38,58.56
12.95,99.58,1.32,54.11
13.98,96.20,1.46,53.17
15.02,101.46,2.65,76.06
16.02,92.21,2.12,64.10
17.05,100.94,3.03,55.43
18.12,97.01,3.92,58.68
19.12,100.90,2.69,55.41
20.12,94.85,1.82,60.68
21.12,97.64,1.52,62.70
22.16,97.93,1.88,61.33
23.19,101.95,2.91,80.80
24.26,96.35,1.23,64.71
25.29,103.57,2.70,52.80
26.26,104.42,2.68,63.89
27.29,105.41,1.57,65.02
28.36,100.73,1.58,59.99
29.40,104.66,1.22,60.28
30.43,98.24,0.96,61.25
31.46,100.77,1.27,69.34
32.53,104.23,1.39,71.59
33.57,104.04,1.10,67.42
34.60,104.13,1.72,61.20
35.64,103.54,1.74,60.96
36.70,105.54,1.23,60.44
37.74,101.39,1.91,64.29
