Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,102.63,1.77,49.79
5.71,93.61,1.59,57.92
6.74,102.15,1.71,46.81
7.77,100.60,2.73,60.70
8.81,110.49,1.84,54.27
9.88,91.18,1.32,50.38
10.91,102.32,1.24,53.64
11.95,109.56,1.38,58.56
12.98,107.58,1.32,54.11
14.05,100.46,1.46,53.17
15.08,102.70,2.65,76.06
16.12,111.57,2.12,64.10
17.12,107.56,3.03,55.43
18.12,105.66,3.92,58.68
19.12,109.42,2.69,55.41
20.09,109.59,1.82,60.68
21.12,101.72,1.52,62.70
22.16,104.03,1.88,61.33
23.22,108.27,2.91,80.80
24.22,105.56,1.23,64.71
25.26,106.03,2.70,52.80
26.29,101.68,2.68,63.89
27.29,100.56,1.57,65.02
28.29,104.70,1.58,59.99
29.30,106.89,1.22,60.28
30.33,108.87,0.96,61.25
31.40,104.18,1.27,69.34
32.43,107.77,1.39,71.59
33.47,106.54,1.10,67.42
34.50,105.99,1.72,61.20
35.47,104.24,1.74,60.96
36.50,110.15,1.23,60.44
37.57,108.68,1.91,64.29
38.61,110.11,2.61,50.79
