Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,100.98,1.77,49.79
5.14,108.98,1.59,57.92
6.17,106.13,1.71,46.81
7.21,103.36,2.73,60.70
8.24,106.93,1.84,54.27
9.28,105.92,1.32,50.38
10.31,103.26,1.24,53.64
11.34,102.68,1.38,58.56
12.35,107.05,1.32,54.11
13.38,104.43,1.46,53.17
14.45,108.98,2.65,76.06
15.48,104.33,2.12,64.10
16.52,101.68,3.03,55.43
17.52,103.13,3.92,58.68
18.55,106.62,2.69,55.41
19.59,104.81,1.82,60.68
20.62,110.87,1.52,62.70
21.65,112.36,1.88,61.33
22.69,109.22,2.91,80.80
23.76,111.08,1.23,64.71
24.79,109.76,2.70,52.80
25.83,107.96,2.68,63.89
26.86,102.41,1.57,65.02
27.86,104.12,1.58,59.99
28.90,105.18,1.22,60.28
29.90,103.83,0.96,61.25
30.96,102.91,1.27,69.34
