Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
5.44,99.09,1.77,49.79
6.44,105.59,1.59,57.92
7.41,100.49,1.71,46.81
8.38,90.12,2.73,60.70
9.38,89.29,1.84,54.27
10.41,89.62,1.32,50.38
11.41,88.08,1.24,53.64
12.38,81.30,1.38,58.56
13.45,83.34,1.32,54.11
14.45,84.34,1.46,53.17
15.48,79.76,2.65,76.06
16.42,88.33,2.12,64.10
17.45,87.83,3.03,55.43
18.49,86.22,3.92,58.68
19.52,86.43,2.69,55.41
20.52,93.34,1.82,60.68
21.55,95.68,1.52,62.70
22.56,92.38,1.88,61.33
23.62,96.25,2.91,80.80
24.66,93.99,1.23,64.71
25.66,90.33,2.70,52.80
26.69,91.56,2.68,63.89
27.73,95.41,1.57,65.02
28.73,97.05,1.58,59.99
29.80,93.69,1.22,60.28
30.83,93.45,0.96,61.25
31.87,92.00,1.27,69.34
32.90,92.88,1.39,71.59
33.97,91.75,1.10,67.42
34.93,94.83,1.72,61.20
36.00,94.49,1.74,60.96
