Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,104.41,1.77,49.79
4.90,105.26,1.59,57.92
5.90,100.00,1.71,46.81
6.93,87.29,2.73,60.70
7.97,89.92,1.84,54.27
9.00,100.42,1.32,50.38
10.03,99.64,1.24,53.64
11.10,99.00,1.38,58.56
12.13,100.47,1.32,54.11
13.17,100.59,1.46,53.17
14.20,91.63,2.65,76.06
15.27,88.24,2.12,64.10
16.30,90.90,3.03,55.43
17.33,103.93,3.92,58.68
18.37,98.48,2.69,55.41
19.43,95.02,1.82,60.68
20.47,100.17,1.52,62.70
21.50,102.30,1.88,61.33
22.53,102.41,2.91,80.80
23.60,98.70,1.23,64.71
24.63,102.25,2.70,52.80
25.67,101.85,2.68,63.89
26.70,102.06,1.57,65.02
27.77,103.77,1.58,59.99
28.80,107.77,1.22,60.28
29.83,105.26,0.96,61.25
30.87,104.50,1.27,69.34
31.93,102.63,1.39,71.59
32.97,102.50,1.10,67.42
34.00,104.86,1.72,61.20
