Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.17,99.54,1.77,49.79
5.33,94.78,1.59,57.92
6.33,93.08,1.71,46.81
7.40,92.31,2.73,60.70
8.40,90.00,1.84,54.27
9.40,89.44,1.32,50.38
10.37,89.65,1.24,53.64
11.37,97.66,1.38,58.56
12.37,98.18,1.32,54.11
13.37,98.90,1.46,53.17
14.37,99.52,2.65,76.06
15.37,98.35,2.12,64.10
16.40,101.09,3.03,55.43
17.40,99.62,3.92,58.68
18.43,100.00,2.69,55.41
19.43,96.35,1.82,60.68
20.43,100.90,1.52,62.70
21.47,103.52,1.88,61.33
22.47,104.32,2.91,80.80
23.50,101.43,1.23,64.71
