Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,100.50,1.77,49.79
5.04,87.19,1.59,57.92
6.07,89.96,1.71,46.81
7.07,85.20,2.73,60.70
8.07,92.66,1.84,54.27
9.08,92.24,1.32,50.38
10.11,91.11,1.24,53.64
11.14,98.53,1.38,58.56
12.21,96.20,1.32,54.11
13.21,94.82,1.46,53.17
14.25,96.52,2.65,76.06
15.28,94.85,2.12,64.10
16.35,94.27,3.03,55.43
17.35,95.23,3.92,58.68
18.35,98.27,2.69,55.41
19.35,99.07,1.82,60.68
20.35,98.92,1.52,62.70
21.39,97.16,1.88,61.33
22.36,100.70,2.91,80.80
23.36,99.94,1.23,64.71
24.42,97.75,2.70,52.80
25.46,100.74,2.68,63.89
26.49,102.00,1.57,65.02
27.53,102.78,1.58,59.99
28.60,101.94,1.22,60.28
29.63,101.34,0.96,61.25
30.66,102.85,1.27,69.34
31.70,99.41,1.39,71.59
32.77,104.38,1.10,67.42
33.80,102.46,1.72,61.20
34.80,104.35,1.74,60.96
35.80,101.63,1.23,60.44
36.84,101.77,1.91,64.29
