Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,105.44,1.77,49.79
4.80,88.80,1.59,57.92
5.84,90.14,1.71,46.81
6.87,86.98,2.73,60.70
7.94,88.33,1.84,54.27
8.98,95.70,1.32,50.38
10.01,93.70,1.24,53.64
11.04,84.19,1.38,58.56
12.11,103.47,1.32,54.11
13.15,104.26,1.46,53.17
14.18,102.93,2.65,76.06
15.22,96.78,2.12,64.10
16.28,102.60,3.03,55.43
17.32,101.96,3.92,58.68
18.35,104.04,2.69,55.41
19.39,101.01,1.82,60.68
20.39,104.27,1.52,62.70
21.45,105.72,1.88,61.33
22.49,107.50,2.91,80.80
23.49,105.45,1.23,64.71
24.52,107.69,2.70,52.80
25.59,108.23,2.68,63.89
26.63,105.82,1.57,65.02
27.66,104.53,1.58,59.99
28.70,105.13,1.22,60.28
29.76,105.62,0.96,61.25
30.80,106.85,1.27,69.34
31.83,106.24,1.39,71.59
32.87,101.39,1.10,67.42
33.93,104.84,1.72,61.20
34.97,104.66,1.74,60.96
36.00,105.34,1.23,60.44
37.04,105.12,1.91,64.29
38.10,104.00,2.61,50.79
