Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
5.67,107.30,1.77,49.79
6.70,104.48,1.59,57.92
7.77,93.49,1.71,46.81
8.80,107.43,2.73,60.70
9.83,98.76,1.84,54.27
10.87,98.86,1.32,50.38
11.93,99.96,1.24,53.64
12.97,98.62,1.38,58.56
14.00,94.78,1.32,54.11
15.03,95.67,1.46,53.17
16.10,95.22,2.65,76.06
17.13,93.46,2.12,64.10
18.17,93.69,3.03,55.43
19.20,93.40,3.92,58.68
20.27,96.92,2.69,55.41
21.30,92.89,1.82,60.68
22.33,98.00,1.52,62.70
23.37,95.88,1.88,61.33
24.43,95.47,2.91,80.80
25.47,93.22,1.23,64.71
26.50,98.82,2.70,52.80
27.53,100.38,2.68,63.89
28.60,96.45,1.57,65.02
29.63,102.11,1.58,59.99
30.67,104.17,1.22,60.28
31.70,101.70,0.96,61.25
32.77,101.93,1.27,69.34
33.80,104.46,1.39,71.59
34.83,104.25,1.10,67.42
