Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.13,105.87,1.77,49.79
5.31,116.28,1.59,57.92
6.34,127.53,1.71,46.81
7.34,105.15,2.73,60.70
8.34,104.75,1.84,54.27
9.38,100.32,1.32,50.38
10.34,100.87,1.24,53.64
11.41,107.24,1.38,58.56
12.45,101.65,1.32,54.11
13.48,99.51,1.46,53.17
14.51,100.80,2.65,76.06
15.55,108.83,2.12,64.10
16.55,109.23,3.03,55.43
17.55,102.28,3.92,58.68
18.55,104.05,2.69,55.41
19.55,100.94,1.82,60.68
20.49,100.95,1.52,62.70
21.49,104.15,1.88,61.33
22.52,104.15,2.91,80.80
23.56,103.13,1.23,64.71
24.62,103.62,2.70,52.80
25.66,101.54,2.68,63.89
26.69,103.57,1.57,65.02
27.73,101.03,1.58,59.99
28.80,100.99,1.22,60.28
29.83,100.24,0.96,61.25
30.86,99.57,1.27,69.34
31.90,100.34,1.39,71.59
32.97,98.84,1.10,67.42
33.97,100.21,1.72,61.20
