Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,104.14,1.77,49.79
5.03,118.03,1.59,57.92
6.00,117.35,1.71,46.81
7.00,108.36,2.73,60.70
8.07,113.37,1.84,54.27
9.10,106.27,1.32,50.38
10.13,106.67,1.24,53.64
11.10,106.56,1.38,58.56
12.07,105.46,1.32,54.11
13.03,102.08,1.46,53.17
14.03,104.71,2.65,76.06
15.00,101.80,2.12,64.10
15.90,104.24,3.03,55.43
16.90,105.83,3.92,58.68
17.90,105.02,2.69,55.41
18.90,107.28,1.82,60.68
19.90,110.25,1.52,62.70
20.90,108.40,1.88,61.33
21.93,103.55,2.91,80.80
22.97,105.30,1.23,64.71
24.03,105.78,2.70,52.80
25.07,103.05,2.68,63.89
26.10,104.60,1.57,65.02
27.13,107.01,1.58,59.99
28.10,106.01,1.22,60.28
29.13,105.47,0.96,61.25
30.13,104.35,1.27,69.34
31.13,103.31,1.39,71.59
32.13,102.73,1.10,67.42
33.17,103.92,1.72,61.20
34.20,107.13,1.74,60.96
35.23,107.60,1.23,60.44
36.27,108.45,1.91,64.29
37.27,106.58,2.61,50.79
38.30,105.70,1.01,46.16
39.30,108.13,1.32,49.36
40.30,110.02,1.35,54.53
