Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.13,100.38,1.77,49.79
5.27,112.07,1.59,57.92
6.27,122.69,1.71,46.81
7.33,122.79,2.73,60.70
8.37,117.95,1.84,54.27
9.40,110.70,1.32,50.38
10.37,113.47,1.24,53.64
11.33,114.48,1.38,58.56
12.33,115.77,1.32,54.11
13.33,114.89,1.46,53.17
14.33,116.54,2.65,76.06
15.33,114.86,2.12,64.10
16.33,113.15,3.03,55.43
17.37,120.00,3.92,58.68
18.40,114.31,2.69,55.41
19.43,112.05,1.82,60.68
20.43,111.26,1.52,62.70
21.47,117.46,1.88,61.33
22.47,115.23,2.91,80.80
23.47,113.83,1.23,64.71
24.47,115.89,2.70,52.80
25.47,116.30,2.68,63.89
26.47,109.95,1.57,65.02
27.50,112.30,1.58,59.99
28.53,112.22,1.22,60.28
29.57,108.04,0.96,61.25
30.57,110.08,1.27,69.34
31.57,109.21,1.39,71.59
32.60,107.56,1.10,67.42
33.60,107.84,1.72,61.20
34.57,109.65,1.74,60.96
35.57,108.88,1.23,60.44
36.57,110.25,1.91,64.29
