Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.03,103.52,1.77,49.79
5.24,106.57,1.59,57.92
6.24,106.22,1.71,46.81
7.31,121.35,2.73,60.70
8.34,117.74,1.84,54.27
9.38,111.67,1.32,50.38
10.41,99.65,1.24,53.64
11.44,102.14,1.38,58.56
12.48,110.03,1.32,54.11
13.51,111.89,1.46,53.17
14.55,113.43,2.65,76.06
15.62,114.98,2.12,64.10
16.65,119.35,3.03,55.43
17.68,120.86,3.92,58.68
18.72,113.32,2.69,55.41
19.79,114.17,1.82,60.68
20.82,104.86,1.52,62.70
21.86,107.21,1.88,61.33
22.89,106.67,2.91,80.80
23.96,114.13,1.23,64.71
24.99,115.68,2.70,52.80
26.03,110.49,2.68,63.89
27.06,108.96,1.57,65.02
28.13,110.07,1.58,59.99
29.16,110.17,1.22,60.28
30.20,107.67,0.96,61.25
31.20,103.86,1.27,69.34
32.20,110.39,1.39,71.59
33.20,107.10,1.10,67.42
34.27,100.89,1.72,61.20
35.30,102.03,1.74,60.96
36.34,105.25,1.23,60.44
