Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,98.12,1.77,49.79
5.67,92.22,1.59,57.92
6.74,89.64,1.71,46.81
7.77,91.25,2.73,60.70
8.78,90.48,1.84,54.27
9.78,93.01,1.32,50.38
10.78,92.19,1.24,53.64
11.75,88.62,1.38,58.56
12.68,91.97,1.32,54.11
13.68,99.08,1.46,53.17
14.61,97.61,2.65,76.06
15.62,93.73,2.12,64.10
16.62,92.82,3.03,55.43
17.62,92.20,3.92,58.68
18.62,93.47,2.69,55.41
19.62,88.64,1.82,60.68
20.65,90.12,1.52,62.70
21.65,87.92,1.88,61.33
22.66,86.98,2.91,80.80
23.66,88.47,1.23,64.71
24.66,87.96,2.70,52.80
25.66,83.47,2.68,63.89
26.69,83.34,1.57,65.02
27.73,87.04,1.58,59.99
28.66,89.08,1.22,60.28
29.63,86.74,0.96,61.25
30.63,89.88,1.27,69.34
31.60,89.67,1.39,71.59
32.60,82.74,1.10,67.42
33.60,83.03,1.72,61.20
34.57,84.66,1.74,60.96
35.57,86.72,1.23,60.44
36.54,85.14,1.91,64.29
