Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
4.93,107.14,1.77,49.79
5.97,109.04,1.59,57.92
6.97,110.99,1.71,46.81
8.03,105.88,2.73,60.70
9.07,105.48,1.84,54.27
10.10,99.94,1.32,50.38
11.13,98.80,1.24,53.64
12.13,104.35,1.38,58.56
13.20,107.03,1.32,54.11
14.23,103.25,1.46,53.17
15.27,108.83,2.65,76.06
16.30,96.43,2.12,64.10
17.33,106.26,3.03,55.43
18.37,112.21,3.92,58.68
19.40,110.18,2.69,55.41
20.43,105.85,1.82,60.68
21.50,110.67,1.52,62.70
22.53,106.20,1.88,61.33
23.57,106.36,2.91,80.80
24.60,102.93,1.23,64.71
25.67,102.26,2.70,52.80
26.70,105.99,2.68,63.89
27.73,106.00,1.57,65.02
28.77,106.47,1.58,59.99
29.83,101.58,1.22,60.28
30.87,105.53,0.96,61.25
31.90,106.58,1.27,69.34
32.93,99.15,1.39,71.59
34.00,105.84,1.10,67.42
