Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
4.87,109.09,1.77,49.79
5.93,95.36,1.59,57.92
6.97,105.81,1.71,46.81
8.00,108.00,2.73,60.70
9.00,91.14,1.84,54.27
10.00,91.92,1.32,50.38
11.03,97.41,1.24,53.64
12.10,97.33,1.38,58.56
13.13,96.92,1.32,54.11
14.17,100.81,1.46,53.17
15.17,95.56,2.65,76.06
16.17,95.51,2.12,64.10
17.17,100.14,3.03,55.43
18.17,101.51,3.92,58.68
19.17,94.33,2.69,55.41
20.20,98.95,1.82,60.68
21.17,94.62,1.52,62.70
22.20,97.14,1.88,61.33
23.23,94.83,2.91,80.80
24.30,94.60,1.23,64.71
25.30,92.05,2.70,52.80
26.30,94.40,2.68,63.89
27.33,93.81,1.57,65.02
28.37,92.56,1.58,59.99
29.43,95.39,1.22,60.28
30.47,99.81,0.96,61.25
31.50,96.69,1.27,69.34
32.53,94.59,1.39,71.59
33.60,90.66,1.10,67.42
34.63,90.70,1.72,61.20
35.67,86.46,1.74,60.96
36.67,90.91,1.23,60.44
37.73,91.47,1.91,64.29
38.73,90.65,2.61,50.79
39.70,94.53,1.01,46.16
