Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,109.09,1.77,49.79
5.07,109.09,1.59,57.92
6.10,109.70,1.71,46.81
7.13,113.71,2.73,60.70
8.17,109.67,1.84,54.27
9.20,97.40,1.32,50.38
10.23,111.12,1.24,53.64
11.27,105.79,1.38,58.56
12.33,103.24,1.32,54.11
13.37,108.38,1.46,53.17
14.40,109.09,2.65,76.06
15.43,108.60,2.12,64.10
16.23,105.03,3.03,55.43
17.27,102.91,3.92,58.68
18.33,107.56,2.69,55.41
19.27,109.69,1.82,60.68
20.23,107.91,1.52,62.70
21.17,108.34,1.88,61.33
22.23,103.31,2.91,80.80
23.27,106.72,1.23,64.71
24.30,101.81,2.70,52.80
25.33,106.82,2.68,63.89
26.40,102.27,1.57,65.02
27.43,104.33,1.58,59.99
28.47,103.07,1.22,60.28
29.50,104.01,0.96,61.25
30.50,104.09,1.27,69.34
31.53,106.31,1.39,71.59
