Timestamp (s),Heart Rate (BPM),Face Movement (avg),Eye Movement (avg)
0.00,101.05,1.77,49.79
5.00,98.26,1.59,57.92
6.04,94.66,1.71,46.81
7.07,89.04,2.73,60.70
8.11,81.65,1.84,54.27
9.18,86.55,1.32,50.38
10.21,101.25,1.24,53.64
11.24,100.22,1.38,58.56
12.28,99.83,1.32,54.11
13.35,99.51,1.46,53.17
14.38,103.45,2.65,76.06
15.42,102.23,2.12,64.10
16.45,89.13,3.03,55.43
17.48,93.18,3.92,58.68
18.49,96.05,2.69,55.41
19.49,96.60,1.82,60.68
20.52,97.82,1.52,62.70
21.55,101.39,1.88,61.33
22.62,101.79,2.91,80.80
23.66,101.38,1.23,64.71
24.69,101.03,2.70,52.80
25.73,97.15,2.68,63.89
26.73,102.76,1.57,65.02
27.76,98.89,1.58,59.99
28.80,97.74,1.22,60.28
29.83,97.58,0.96,61.25
30.90,102.01,1.27,69.34
31.93,103.90,1.39,71.59
32.97,103.97,1.10,67.42
34.00,104.02,1.72,61.20
35.04,106.43,1.74,60.96
